item_id,movie_id,title,release_year,contract_year,runtime,mpa_rating,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,country_1,studio,director,Genre_1,Genre_2,Genre_3,actor_1,actor_2,actor_3,contract_price,studio_score,price_class,price,total_price,total_dollar,interest
I-1008,tt0418279,Transformers,2007,2015,144,PG-13,7.0,576216,1840,392,150000000,319246193,709709780,USA,P/DW,Michael Bay,Action,Adventure,Sci-Fi,Shia LaBeouf,Megan Fox,Josh Duhamel,2145,4,1,5000.0,5370000.0,4727.0,2582.0
I-1092,tt0974015,Justice League,2017,2018,120,PG-13,6.4,345770,1906,475,300000000,229024295,657924295,USA,WB,Zack Snyder,Action,Adventure,Fantasy,Ben Affleck,Henry Cavill,Amy Adams,2295,10,1,4500.0,5521500.0,4860.0,2565.0
I-1021,tt0499549,Avatar,2009,2015,162,PG-13,7.8,1066602,3304,727,237000000,760507625,2789968301,USA,20th Century Fox,James Cameron,Action,Adventure,Fantasy,Sam Worthington,Zoe Saldana,Sigourney Weaver,2700,10,10,4000.0,5700000.0,5018.0,2318.0
I-1089,tt5013056,Dunkirk,2017,2018,106,PG-13,7.9,487517,2222,608,100000000,189740665,526940665,UK,WB,Christopher Nolan,Action,Drama,History,Fionn Whitehead,Damien Bonnard,Aneurin Barnard,2700,10,10,4500.0,5494500.0,4837.0,2137.0
I-1085,tt3896198,Guardians of the Galaxy Vol. 2,2017,2018,136,PG-13,7.6,510984,971,572,200000000,389813101,863756051,USA,BUENA VISTA,James Gunn,Action,Adventure,Comedy,Chris Pratt,Zoe Saldana,Dave Bautista,2700,10,10,5500.0,5049000.0,4445.0,1745.0
I-1011,tt0371746,Iron Man,2008,2015,126,PG-13,7.9,887164,1250,526,140000000,318604126,585366247,USA,Paramount,Jon Favreau,Action,Adventure,Sci-Fi,Robert Downey Jr.,Terrence Howard,Jeff Bridges,2700,10,10,5500.0,4961000.0,4367.0,1667.0
I-1009,tt0373889,Harry Potter and the Order of the Phoenix,2007,2015,138,PG-13,7.5,466342,1155,347,150000000,292353413,938580405,UK,WB,David Yates,Action,Adventure,Family,Daniel Radcliffe,Harry Melling,Jason Boyd,2700,10,10,4500.0,4869000.0,4286.0,1586.0
I-1035,tt1453405,Monsters University,2013,2015,104,G,7.3,299920,302,389,200000000,268492764,743559607,USA,BUENA VISTA,Dan Scanlon,Animation,Adventure,Comedy,Billy Crystal,John Goodman,Steve Buscemi,2295,10,1,7200.0,4370400.0,3847.0,1552.0
I-1073,tt2277860,Finding Dory,2016,2017,97,PG,7.3,220411,406,551,200000000,486295561,1028570889,USA,BUENA VISTA,Andrew Stanton,Animation,Adventure,Comedy,Ellen DeGeneres,Albert Brooks,Ed O'Neill,2295,10,1,7200.0,4248000.0,3739.0,1444.0
I-1088,tt2250912,Spider-Man: Homecoming,2017,2018,133,PG-13,7.5,460468,1297,552,175000000,334201140,880166924,USA,Sony Pictures/Columbia,Jon Watts,Action,Adventure,Sci-Fi,Tom Holland,Michael Keaton,Robert Downey Jr.,2700,10,10,4000.0,4652000.0,4095.0,1395.0
I-1039,tt2294629,Frozen,2013,2015,102,PG,7.5,528717,1012,432,150000000,400738009,1274219009,USA,BUENA VISTA,Chris Buck,Animation,Adventure,Comedy,Kristen Bell,Idina Menzel,Jonathan Groff,2700,10,10,7200.0,4629600.0,4075.0,1375.0
