imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt8773662,Vengeance,Vengeance,2019,2019-09-13,Horror,95,USA,English,"Jeremy W. Brown, Dustin Montierth","T.C. De Witt, Mike Meade",Real Fiction Studios,"Tom McLoughlin, C.J. Graham, Jason Brooks, Levy Menn, Jenny Porter, Caleb Ryden, Bri Patin, Kelly Tappan, Sanae Loutsis, Jon A. Ravenholt, Diana Prince, Dan Feldmeier, Steve Dash, Landon Scruggs Harrar, Julia Valenti","Friday the 13th Vengeance combines death, brutality and creativity to bold storytelling in this dark take on the franchise.",5.6,230,"$50,000 ",,,,11,5
tt10740584,Abigail Haunting,Abigail Haunting,2020,2020-03-27,Horror,85,USA,English,Kelly Schwarze,"Charisma Manulat, Kelly Schwarze",Indie Film Factory,"Chelsea Jurkiewicz, Austin Collazo, Brenda Daly, Michael Monteiro, Christopher Brown, Taylor May, Zander Garcia, Eric Rickey, Ellinor Schwarze, Joseph Stevenson","After escaping the clutches of an abusive relationship, Katie reluctantly returns to the foster home she grew up in. Little does she know, her foster mother Marge is harboring a sinister ...",3.8,398,"$60,000 ",,,,23,10
tt2789014,100 Acres of Hell,100 Acres of Hell,2019,2019-03-02,"Action, Crime, Horror",85,USA,English,Hank Leigh Hump,"Jason L. Koerner, Jason L. Koerner",100 Acres of Hell Productions,"Gene Snisky, Jeff Swanton, Jim Roof, Ernest O'Donnell, Meg Carriero, Catherine Corcoran, Katie Walsh, Sam Anoai, Joel Ruda, Anthony Edward Curry, Brittany Ineson, Robert Waldron, Heidi Bird Kellers, Hannah Heckman, Michael Ashley McKeever","When ex pro wrestler Buck Severs travels to an abandoned wildlife preserve with his friends for 'Bro's Weekend,' they become the targets of a deadly manhunt and Buck must find the fighter in himself before it's too late.",2.8,180,"$65,000 ","$5,152 ","$5,152 ",,23,12
tt7491732,Nesting Dolls,Nesting Dolls,2019,2019-04-24,Thriller,103,USA,English,Robbie Snow,Robbie Snow,Das Haus,"Jenna Krasowski, Sydney Amanuel, Ali Breneman, Gregory Dean Tompkins","Nesting Dolls is a psychological thriller about the darker sides of us that can lie just beneath the surface. Tori, Britt, and Erica are sorority sisters who spend a week together at a ...",5.2,158,"$75,000 ",,,,10,
tt5747714,Unbound,Unbound,2020,2020-02-07,"Action, Crime, Drama",97,USA,English,Steve Rahaman,Steve Rahaman,Rahaman Studios,"Daniel O'Shea, Debra Toscano, Michael Robert Anderson, Dan Thorp, Kevin Moccia, Vincent Ticali, Laura Fay Lewis, Charlie Sausa, Lauren Toglia, Damien Bosco, Steve Rahaman, Nathaniel Toto","Set in a sleepy town in New Orleans, a family grieves for their missing daughter while hiding a secret in the basement.",4.5,182,"$80,000 ",,,,11,
tt3584496,Mermaid Down,Mermaid Down,2019,2019-12-20,"Fantasy, Horror, Mystery",91,"USA, UK",English,Jeffrey Grellman,"Jeffrey Grellman, Kelly Lauren Baker",Grellman Film,"Alexandra Bokova, Phillip Andre Botello, Eryn Rea, Meggan Kaiser, Megan Therese Rippey, Shani Drake, Michelle Gallagher, Cara Bamford, Jessica Honor Carleton, Ashley Cordelia, Burt Culver, Amber Gaston, E. Shepherd Stevenson, Drew Moore, Caroline Dunaway","A mermaid is ripped from the Pacific, her tail is chopped off and she's thrown into a mental home where no one believes she is a mermaid.",5.9,4094,"$85,000 ",,"$116,466 ",,177,13
tt8196692,Soul Hunters,Soul Hunters,2019,2019-02-09,"Action, Thriller",101,USA,English,"Adrian Acevedo-Smith, Arturo Acevedo-Smith","Adrian Acevedo-Smith, Arturo Acevedo-Smith",Acevedo Smith Productions,"Zach Scheerer, Franziska Schissler, David Josh Lawrence, Nikolay Moss, Kelsey Johnson, Tyler Cole, Aramis Merlin, Michelle Alexandria, Kamy D. Bruder, Buzz Cuccia, Bianca Fletcher, Jordan Frechtman, Hannah Hagler, Will David Jorden, Dave Kirkpatrick",A disgraced ex special forces agent turns to a demon that offers him a job as a soul hunter. Chaos ensues when a former associate goes on a killing spree with the soul hunter as his main target.,6.7,1280,"$85,000 ",,,,44,1
tt5575918,Human Zoo,Human Zoo,2020,2020-05-05,"Horror, Reality-TV, Thriller",109,USA,English,John E Seymore,"John E Seymore, John D. Crawford",Seymore Films,"Robert Carradine, Jose Rosete, Rachel Amanda Bryant, Jessica Cameron, Megan Le, John D. Crawford, Heather Dorff, Robert Catrini, Kristyn Evelyn, Raw Leiba, Trista Robinson, Edward Hong, Jordan Mitchell-Love, Loren Ledesma, Ally Holmes","The internet watches live, as reality-show contestants struggle against time to see who will stay in solitary confinement the longest and take home the one million dollar prize.",2.1,241,"$86,000 ",,,,34,26
tt9626278,Fourteen,Fourteen,2019,2020-01-16,Drama,94,USA,English,Dan Sallitt,Dan Sallitt,Static Prods.,"Tallie Medel, Norma Kuhling, Lorelei Romani, C. Mason Wells, Dylan McCormick, Kolyn Brown, Willy McGee, Scott Friend, Evan Davis, Ben Sloane, Caroline Luft, Strawn Bovee, Solya Spiegel, Aundrea Fares, Jesse Hochstadt","Over the course of a decade, a young woman becomes increasingly dysfunctional due to undiagnosed mental illness, or perhaps to drugs, while her more stable friend sometimes tries to help, sometimes backs away to preserve herself.",6.9,303,"$95,000 ",,,79,,108
tt3290322,The Runners,The Runners,2020,2020-07-14,Action,94,USA,,"Joey Loomis, Micah Lyons",Micah Lyons,Breath of Life Productions,"Micah Lyons, Tom Sizemore, Glenn Morshower, Netty Leach, Neal McCoy, Jason Peter Kennedy, Brooke Lyons, Eric Hanson, Stephanie Rhodes, 'Big' Jack Little, David D. Ford, Swayde McCoy, Alison Paige Patterson, Joshua Passmore, Molly Routzon","When his little sister is abducted from a homecoming after-party in rural East Texas, Ryan is in a race against the clock to save her before she disappears into the underworld of sex trafficking forever.",4.3,155,"$100,000 ",,,,33,5
tt10955148,Rising Free,Rising Free,2019,2019-12-06,"Drama, History",102,USA,English,Christian Johannesson,H.B. Johannesson,LightFall Motion Picture Group,"Samantha Droke, Melanie Foust, Bob Grove, Elias Kamplain, Stephan Lunsford","In late nineteenth-century America, Rising Free portrays the story of a young woman living in the aftermath of racial prejudice. Surrounded by danger of being sold and further stripped of ...",6.3,566,"$100,000 ",,,,22,
